Search_Type,Layer_Structure,Hyperparameters,Train_Loss,Train_Accuracy,Val_Loss,Val_Accuracy,Test_Loss,Test_Accuracy
Grid,"(64, 32)","{'activation': 'relu', 'optimizer': 'adam', 'batch_size': 128, 'dropout': 0.2, 'regularizer': 'l2', 'reg_value': 0.0}",0.04278744012117386,0.9876800179481506,0.08724269270896912,0.9751999974250793,0.09886884689331055,0.9722999930381775
Grid,"(64, 32)","{'activation': 'relu', 'optimizer': 'adam', 'batch_size': 128, 'dropout': 0.5, 'regularizer': 'l2', 'reg_value': 0.0}",0.11626145243644714,0.967199981212616,0.15242913365364075,0.9629999995231628,0.16041740775108337,0.9574999809265137
Grid,"(64, 32)","{'activation': 'swish', 'optimizer': 'adam', 'batch_size': 64, 'dropout': 0.0, 'regularizer': 'l2', 'reg_value': 0.0}",0.027706611901521683,0.9923999905586243,0.09060944616794586,0.9751999974250793,0.0865587368607521,0.9731000065803528
Grid,"(64, 32)","{'activation': 'swish', 'optimizer': 'adam', 'batch_size': 64, 'dropout': 0.2, 'regularizer': 'l2', 'reg_value': 0.0}",0.04863715171813965,0.9852799773216248,0.08956517279148102,0.9736999869346619,0.08514024317264557,0.9754999876022339
Grid,"(64, 32)","{'activation': 'swish', 'optimizer': 'adam', 'batch_size': 64, 'dropout': 0.5, 'regularizer': 'l2', 'reg_value': 0.0}",0.09151824563741684,0.9715999960899353,0.12348524481058121,0.9671000242233276,0.1309376358985901,0.9628999829292297
Grid,"(64, 32)","{'activation': 'swish', 'optimizer': 'adam', 'batch_size': 128, 'dropout': 0.0, 'regularizer': 'l2', 'reg_value': 0.0}",0.03479873389005661,0.9906600117683411,0.09169436246156693,0.9728999733924866,0.09432883560657501,0.9728000164031982
Grid,"(64, 32)","{'activation': 'swish', 'optimizer': 'adam', 'batch_size': 128, 'dropout': 0.2, 'regularizer': 'l2', 'reg_value': 0.0}",0.05359257012605667,0.9830800294876099,0.08975434303283691,0.9722999930381775,0.0925784781575203,0.9718999862670898
Grid,"(64, 32)","{'activation': 'swish', 'optimizer': 'adam', 'batch_size': 128, 'dropout': 0.5, 'regularizer': 'l2', 'reg_value': 0.0}",0.089517742395401,0.9721400141716003,0.11642812192440033,0.9674999713897705,0.12324418872594833,0.9634000062942505
Grid,"(64, 32)","{'activation': 'relu', 'optimizer': 'adam', 'batch_size': 64, 'dropout': 0.0, 'regularizer': 'l2', 'reg_value': 0.001}",0.14573143422603607,0.9824600219726562,0.1696992963552475,0.9724000096321106,0.16693030297756195,0.9733999967575073
Grid,"(64, 32)","{'activation': 'relu', 'optimizer': 'adam', 'batch_size': 64, 'dropout': 0.2, 'regularizer': 'l2', 'reg_value': 0.001}",0.18129658699035645,0.9747599959373474,0.1907191425561905,0.9726999998092651,0.20000803470611572,0.9689000248908997
Grid,"(64, 32)","{'activation': 'relu', 'optimizer': 'adam', 'batch_size': 64, 'dropout': 0.5, 'regularizer': 'l2', 'reg_value': 0.001}",0.2708897590637207,0.9533600211143494,0.2719153165817261,0.954800009727478,0.28392156958580017,0.948199987411499
Grid,"(64, 32)","{'activation': 'relu', 'optimizer': 'adam', 'batch_size': 128, 'dropout': 0.0, 'regularizer': 'l2', 'reg_value': 0.001}",0.13377799093723297,0.9852399826049805,0.16531582176685333,0.9735000133514404,0.16227523982524872,0.9736999869346619
Grid,"(64, 32)","{'activation': 'relu', 'optimizer': 'adam', 'batch_size': 128, 'dropout': 0.2, 'regularizer': 'l2', 'reg_value': 0.001}",0.15111860632896423,0.9795200228691101,0.17250780761241913,0.9735999703407288,0.17376509308815002,0.9715999960899353
Grid,"(64, 32)","{'activation': 'relu', 'optimizer': 'adam', 'batch_size': 128, 'dropout': 0.5, 'regularizer': 'l2', 'reg_value': 0.001}",0.2476588636636734,0.958299994468689,0.24889011681079865,0.960099995136261,0.2606782615184784,0.9542999863624573
Grid,"(64, 32)","{'activation': 'swish', 'optimizer': 'adam', 'batch_size': 64, 'dropout': 0.0, 'regularizer': 'l2', 'reg_value': 0.001}",0.15906621515750885,0.9781399965286255,0.18352358043193817,0.970300018787384,0.18761670589447021,0.9684000015258789
Grid,"(64, 32)","{'activation': 'swish', 'optimizer': 'adam', 'batch_size': 64, 'dropout': 0.2, 'regularizer': 'l2', 'reg_value': 0.001}",0.18009959161281586,0.9767400026321411,0.189851775765419,0.9736999869346619,0.19511005282402039,0.9700999855995178
Grid,"(64, 32)","{'activation': 'swish', 'optimizer': 'adam', 'batch_size': 64, 'dropout': 0.5, 'regularizer': 'l2', 'reg_value': 0.001}",0.2510455548763275,0.9582200050354004,0.2506474554538727,0.9610000252723694,0.25537797808647156,0.9588000178337097
